regime,latent_type,loss,latent,bits_reales,compresion,train_ber,test_ber
lowdim,continuous,mse,128,4096,0.1220703125,0.02688087522983551,0.03901439905166626
lowdim,continuous,bce,128,4096,0.1220703125,0.030228249728679657,0.03870920091867447
lowdim,binary,mse,128,128,3.90625,0.08328737318515778,0.11072400212287903
lowdim,binary,bce,128,128,3.90625,0.08736450225114822,0.11155399680137634
code,continuous,mse,128,4096,0.1220703125,0.26808786392211914,0.3002519905567169
code,continuous,bce,128,4096,0.1220703125,0.2848396301269531,0.3081587851047516
code,binary,mse,128,128,3.90625,0.3365766108036041,0.36601918935775757
code,binary,bce,128,128,3.90625,0.3343212604522705,0.3602144122123718
