latente_bits,code_media,code_desv,random_media,random_desv,diferencia,desv_diferencia,indistinguible
35,0.41604224,0.0006185908056937844,0.41607275999999993,0.0005318585425969437,-3.051999999992283e-05,0.000815799052599493,True
70,0.37947168000000003,0.0004381838802248324,0.37938812,0.0006248387539553163,8.356000000003805e-05,0.0007631700867652784,True
125,0.33496156,0.0003920489969378888,0.33524036,0.000590288199291014,-0.0002788000000000235,0.0007086201903856767,True
250,0.25264256,0.00038136937824984713,0.2529754,0.0004775895122615543,-0.0003328400000000009,0.0006111745617161306,True
