fuente,seed,L,rate,p,modo,vara,ber_test,ber_test_final,ber_test_bnfix,ber_val,mejor_step,ber_top90,ber_top50,ber_tapados
code,0,250,0.5,0.0,mask,0.0,0.24764029681682587,0.2803797125816345,nan,0.24790939688682556,1500,0.2225470095872879,0.12710480391979218,nan
code,0,250,0.5,0.1,mask,0.0,0.24761830270290375,0.25642889738082886,0.24760310351848602,0.2479725033044815,1500,0.22260022163391113,0.1271347999572754,0.49959767492133644
code,0,250,0.5,0.25,mask,0.0,0.24785640835762024,0.2711583077907562,0.24780669808387756,0.2480705976486206,1500,0.2227625548839569,0.12732839584350586,0.5002712577524346
code,0,250,0.5,0.5,mask,0.0,0.24810239672660828,0.2725326120853424,0.24808789789676666,0.24822060763835907,1500,0.22313322126865387,0.12754200398921967,0.5000289167312206
code,0,125,0.25,0.0,mask,0.335,0.3442775011062622,0.366239994764328,nan,0.3442952036857605,1500,0.3283340036869049,0.25241079926490784,nan
code,0,125,0.25,0.1,mask,0.335,0.34351909160614014,0.3739941120147705,0.34333398938179016,0.3435766100883484,2250,0.3273087739944458,0.24616579711437225,0.5004833905795883
code,0,125,0.25,0.25,mask,0.335,0.3420383036136627,0.3741067051887512,0.34176409244537354,0.34197840094566345,2250,0.32580024003982544,0.24607619643211365,0.5007230208478674
code,0,125,0.25,0.5,mask,0.335,0.33995750546455383,0.36399000883102417,0.3395110070705414,0.3397752046585083,2250,0.3236692249774933,0.24643699824810028,0.5000769445200993
code,1,250,0.5,0.0,mask,0.0,0.24769259989261627,0.2782841920852661,nan,0.2475053071975708,1500,0.22273756563663483,0.12704819440841675,nan
code,1,250,0.5,0.1,mask,0.0,0.2478238046169281,0.26445499062538147,0.24786320328712463,0.2475731074810028,1500,0.22275367379188538,0.12735740840435028,0.4998068454763811
code,1,250,0.5,0.25,mask,0.0,0.24792510271072388,0.2728620171546936,0.2479275017976761,0.24778519570827484,1500,0.22288399934768677,0.12729419767856598,0.5002740803293608
code,1,250,0.5,0.5,mask,0.0,0.24816370010375977,0.27309170365333557,0.2481992095708847,0.24799999594688416,1500,0.22308000922203064,0.12777839601039886,0.5001325467162201
code,1,125,0.25,0.0,mask,0.335,0.3441683053970337,0.36448729038238525,nan,0.34413859248161316,1500,0.3282672166824341,0.25257518887519836,nan
code,1,125,0.25,0.1,mask,0.335,0.3431771993637085,0.3750517964363098,0.342865914106369,0.3431932032108307,2250,0.3270987868309021,0.24617640674114227,0.4999379503602882
code,1,125,0.25,0.25,mask,0.335,0.3419262170791626,0.3732343018054962,0.34158629179000854,0.3417927920818329,2250,0.3256579041481018,0.2461400032043457,0.49994134000255464
code,1,125,0.25,0.5,mask,0.335,0.3398776054382324,0.3656904101371765,0.33949971199035645,0.3395859897136688,2250,0.3234924376010895,0.24628600478172302,0.4998216716879814
code,2,250,0.5,0.0,mask,0.0,0.2477301061153412,0.285889208316803,nan,0.2478955090045929,1500,0.22272567451000214,0.12722359597682953,nan
code,2,250,0.5,0.1,mask,0.0,0.2477063089609146,0.27207469940185547,0.24771679937839508,0.247720405459404,1500,0.22274722158908844,0.12727899849414825,0.49962804537846384
code,2,250,0.5,0.25,mask,0.0,0.24795480072498322,0.2780485153198242,0.24804329872131348,0.24800020456314087,1500,0.22293545305728912,0.12729060649871826,0.5006265586471292
code,2,250,0.5,0.5,mask,0.0,0.24812179803848267,0.2750472128391266,0.2481244057416916,0.24822290241718292,1500,0.22308534383773804,0.127606600522995,0.5002389149364902
code,2,125,0.25,0.0,mask,0.335,0.343715101480484,0.3668020963668823,nan,0.3439137935638428,1500,0.3277435600757599,0.25210699439048767,nan
code,2,125,0.25,0.1,mask,0.335,0.343321293592453,0.37360548973083496,0.34307870268821716,0.3434533178806305,2250,0.3271884620189667,0.24613040685653687,0.5007889037537421
code,2,125,0.25,0.25,mask,0.335,0.3418259918689728,0.37267589569091797,0.341695100069046,0.3418574929237366,2250,0.3255425691604614,0.24609340727329254,0.499771815060206
code,2,125,0.25,0.5,mask,0.335,0.34002840518951416,0.36585569381713867,0.3395994007587433,0.3399307131767273,2250,0.32353901863098145,0.24665400385856628,0.49995633382382004
code,3,250,0.5,0.0,mask,0.0,0.247599795460701,0.27622199058532715,nan,0.24763250350952148,1500,0.2225291132926941,0.1271740049123764,nan
code,3,250,0.5,0.1,mask,0.0,0.24765130877494812,0.26023760437965393,0.2476446032524109,0.24766799807548523,1500,0.22257278859615326,0.12730540335178375,0.5004481347701624
code,3,250,0.5,0.25,mask,0.0,0.2478279024362564,0.2723798155784607,0.24781210720539093,0.24781310558319092,1500,0.22273500263690948,0.12735560536384583,0.49980405517806187
code,3,250,0.5,0.5,mask,0.0,0.24818800389766693,0.2737486958503723,0.24817579984664917,0.2478823959827423,1500,0.22311334311962128,0.12751279771327972,0.5002167362795338
code,3,125,0.25,0.0,mask,0.335,0.34371060132980347,0.36813390254974365,nan,0.34381619095802307,1500,0.32771623134613037,0.25232499837875366,nan
code,3,125,0.25,0.1,mask,0.335,0.3432179093360901,0.3738953173160553,0.34301450848579407,0.34315991401672363,2250,0.32697343826293945,0.24619139730930328,0.4990722561112693
code,3,125,0.25,0.25,mask,0.335,0.3418619930744171,0.37195560336112976,0.34143969416618347,0.3417690098285675,2250,0.3255745470523834,0.246356800198555,0.49992642071992527
code,3,125,0.25,0.5,mask,0.335,0.3396330177783966,0.3661661148071289,0.33931469917297363,0.339700311422348,2250,0.32320156693458557,0.24652160704135895,0.5000679800138759
lowdim,0,250,0.5,0.0,mask,0.0465,0.039323799312114716,0.0393035002052784,nan,0.03939419984817505,27750,0.01093211118131876,6.620000203838572e-05,nan
lowdim,0,250,0.5,0.1,mask,0.0465,0.03449080139398575,0.03446090221405029,0.034478601068258286,0.03429650142788887,29250,0.007693889085203409,1.2399999832268804e-05,0.11262299938350187
lowdim,0,250,0.5,0.25,mask,0.0465,0.03998440131545067,0.039934199303388596,0.039976999163627625,0.0399789996445179,24750,0.011045888997614384,2.7600000976235606e-05,0.10749203117884981
lowdim,0,250,0.5,0.5,mask,0.0465,0.042720600962638855,0.04270299896597862,0.04270520061254501,0.042850200086832047,27000,0.013856000266969204,0.0001576000067871064,0.1178595935608343
lowdim,0,70,0.14,0.0,mask,0.1776,0.1408023089170456,0.1407938003540039,nan,0.1404384970664978,30000,0.10694599896669388,0.02096860110759735,nan
lowdim,0,70,0.14,0.1,mask,0.1776,0.1432960033416748,0.14329129457473755,0.1432722955942154,0.1431816965341568,29250,0.10962900519371033,0.022208400070667267,0.17199997598059233
lowdim,0,70,0.14,0.25,mask,0.1776,0.14198310673236847,0.14195050299167633,0.14196880161762238,0.1418638974428177,28500,0.10822344571352005,0.021624000743031502,0.17566987871560155
lowdim,0,70,0.14,0.5,mask,0.1776,0.13233789801597595,0.1323816031217575,0.13230599462985992,0.13213549554347992,29250,0.09810344874858856,0.017345000058412552,0.16771143783793302
lowdim,1,250,0.5,0.0,mask,0.0465,0.03835989907383919,0.03835880011320114,nan,0.03818409889936447,28500,0.010347667150199413,5.6000000768108293e-05,nan
lowdim,1,250,0.5,0.1,mask,0.0465,0.03480980172753334,0.03481290116906166,0.034804701805114746,0.034824199974536896,27000,0.007934888824820518,1.2999999853491317e-05,0.11335368294635709
lowdim,1,250,0.5,0.25,mask,0.0465,0.03984890133142471,0.03986389935016632,0.03985140100121498,0.03972969949245453,29250,0.010956999845802784,2.7800000680144876e-05,0.10749474562582609
lowdim,1,250,0.5,0.5,mask,0.0465,0.04346340149641037,0.04347410053014755,0.04346109926700592,0.043407801538705826,28500,0.014278111048042774,0.00018020000425167382,0.11832723245255407
lowdim,1,70,0.14,0.0,mask,0.1776,0.13829700648784637,0.13833530247211456,nan,0.1385108083486557,29250,0.1043887808918953,0.01954679936170578,nan
lowdim,1,70,0.14,0.1,mask,0.1776,0.1394646018743515,0.13947300612926483,0.1394595056772232,0.13915850222110748,30000,0.1055067777633667,0.02019200101494789,0.1678392714171337
lowdim,1,70,0.14,0.25,mask,0.1776,0.14221230149269104,0.14219270646572113,0.14220160245895386,0.14213870465755463,28500,0.10846389085054398,0.021558599546551704,0.175929540734263
lowdim,1,70,0.14,0.5,mask,0.1776,0.13419850170612335,0.13419559597969055,0.1342208981513977,0.13369859755039215,27750,0.10003200173377991,0.01802919991314411,0.16855044272202574
lowdim,2,250,0.5,0.0,mask,0.0465,0.03821580111980438,0.038154300302267075,nan,0.0381183996796608,26250,0.010193999856710434,5.560000136028975e-05,nan
lowdim,2,250,0.5,0.1,mask,0.0465,0.03438670188188553,0.034381601959466934,0.03437339887022972,0.03443409875035286,28500,0.0076437778770923615,1.140000040322775e-05,0.11269125166729659
lowdim,2,250,0.5,0.25,mask,0.0465,0.03986290097236633,0.03988189995288849,0.039883099496364594,0.03991590067744255,27000,0.010964666493237019,2.4400000256719068e-05,0.10740411132865231
lowdim,2,250,0.5,0.5,mask,0.0465,0.04274760186672211,0.04274899885058403,0.04274500161409378,0.04274670034646988,29250,0.01381388958543539,0.00015219999477267265,0.11759830835035182
lowdim,2,70,0.14,0.0,mask,0.1776,0.1366066038608551,0.13660989701747894,nan,0.13650670647621155,30000,0.10250100493431091,0.018571600317955017,nan
